Symbol,Company,Yield Percentage,Next Ex-div Date
OHI,Omega Healthcare Investors,6.095%,2020-01-30
OMC,Omnicom Group,3.513%,2020-03-09
OLP,One Liberty Properties,6.664%,2019-12-19
ORCL,Oracle,1.884%,2020-01-08
ORAN,Orange fmr. FTE France Telecom (ADR),4.773%,2019-11-27
ORC,Orchid Island Capital Inc.,15.142%,2020-02-27
OMI,Owens & Minor,0.153%,2019-12-13
ORCC,Owl Rock Capital Corp - Ordinary Shares,8.131%,2020-03-30
OXM,Oxford Industries,2.36%,2020-01-16
PNC,PNC Financial Services,3.255%,2020-01-16
PNM,PNM Resources Inc. (Holding Co.),2.316%,2020-04-30
PPG,PPG Industries,1.861%,2020-02-20
PPL,PPL,4.802%,2020-03-09
PKG,Packaging Corporation of America,3.352%,2019-12-19
PRK,Park National,4.402%,2020-02-20
PH,Parker-Hannifin Corporation,1.81%,2020-02-06
PSO,Pearson PLC ADS,1.989%,2019-08-15
PEB,Pebblebrook Hotel Trust,7.024%,2019-12-30
PBA,Pembina Pipeline [NYSE],4.924%,2020-02-24
PEI,Pennsylvania Real Estate Investment Trust,23.932%,2020-02-28
PAG,Penske Automotive Group,3.461%,2020-02-21
PNR,Pentair plc.,1.792%,2020-01-23
PBT,Permian Basin Royalty Trust,16.806%,2020-02-27
PRGO,Perrigo Company plc,1.48%,2020-02-27
PFE,Pfizer,4.378%,2020-01-30
PM,Philip Morris International,5.506%,2019-12-18
PSX,Phillips 66,4.347%,2020-02-14
PSXP,Phillips 66 Partners LP representing limited,5.949%,2020-01-30
DOC,Physicians Realty Trust of Beneficial Interest,4.536%,2020-01-02
PDM,Piedmont Office Realty Trust Cl A,3.613%,2020-02-27
PNW,Pinnacle West Capital,3.181%,2020-01-31
PBI,Pitney-Bowes,5.935%,2020-02-13
PII,Polaris Industries,2.959%,2020-02-28
POL,PolyOne Corporation,3.114%,2020-03-16
POR,Portland General Electric,2.532%,2020-03-24
APTS,Preferred Apartment Communities,10.019%,2020-03-12
PRI,Primerica,1.318%,2020-02-21
PG,Procter & Gamble,2.457%,2020-01-23
PLD,Prologis,2.53%,2020-03-13
PB,Prosperity Bancshares,2.607%,2020-03-13
PFS,Provident Financial Services,4.207%,2020-02-13
PRU,Prudential Financial,5.234%,2020-02-14
PUK,Prudential PLC ADS,2.229%,2019-08-22
PEG,Public Serv. Enterprise,3.414%,2020-03-09
PSA,Public Storage,3.622%,2019-12-12
QUAD,Quad Graphics,11.583%,2020-02-27
KWR,Quaker Chemical Corporation,0.883%,2020-01-16
PWR,Quanta Services,0.539%,2019-12-31
DGX,Quest Diagnostics Incorporated,2.029%,2020-04-06
RRD,R.R. Donnelley & Sons Company,5.085%,2020-02-13
RLI,RLI,1.047%,2020-02-27
RLJ,RLJ Lodging Trust,9.004%,2019-12-30
RPM,RPM International,2.04%,2020-01-15
RL,Ralph Lauren,2.676%,2019-12-26
RJF,Raymond James Financial,1.627%,2020-03-31
RYN,Rayonier Inc. REIT,3.978%,2020-03-16
RTN,Raytheon,1.853%,2020-01-07
O,Realty Income,3.448%,2020-02-28
RWT,Redwood Trust,7.059%,2019-12-13
RF,Regions Financial Corporation,4.192%,2020-03-05
RGA,Reinsurance Group of America Incorporated,1.994%,2020-02-05
RNR,RenaissanceRe Holdings,0.744%,2020-03-12
RSG,Republic Services,1.669%,2020-03-31
